"D.sum"	"S.sum"	"Total"	"NrmD"	"NrmS"
"BRA.171"	3828	29791	33619	0.113864183943603	0.886135816056397
"BRA.172"	31969	27324	59293	0.539169885146645	0.460830114853355
"BRA.173"	4194	28538	32732	0.128131492117805	0.871868507882195
"BRA.174"	695	29551	30246	0.0229782450571976	0.977021754942802
"BRA.175"	31035	27680	58715	0.528570212041216	0.471429787958784
"BRA.176"	37374	31340	68714	0.543906627470385	0.456093372529616
"BRA.177"	34520	29349	63869	0.54048129765614	0.45951870234386
"BRA.178"	12549	2527	15076	0.832382594852746	0.167617405147254
"BRA.179"	31742	27518	59260	0.535639554505569	0.464360445494431
"BRA.17"	34027	29967	63994	0.531721723911617	0.468278276088383
"BRA.182"	31404	28071	59475	0.528020176544767	0.471979823455233
"BRA.183"	29676	27704	57380	0.517183687696061	0.482816312303939
"BRA.184"	33354	28650	62004	0.537933036578285	0.462066963421715
"BRA.185"	10274	9470	19744	0.520360615883306	0.479639384116694
"BRA.186"	32790	28478	61268	0.535189658549324	0.464810341450676
"BRA.187"	9143	26139	35282	0.259140638285811	0.740859361714189
"BRA.188"	34511	32132	66643	0.5178488363369	0.4821511636631
"BRA.190"	35541	31638	67179	0.529049256464074	0.470950743535926
"BRA.191"	29925	27317	57242	0.522780475874358	0.477219524125642
"BRA.192"	36924	32767	69691	0.529824511055947	0.470175488944053
"BRA.194"	35216	1011	36227	0.972092638087614	0.0279073619123858
"BRA.195"	29881	27161	57042	0.523842081273448	0.476157918726552
"BRA.196"	33700	30576	64276	0.524301449996888	0.475698550003112
"BRA.197"	30441	28107	58548	0.519932363189178	0.480067636810822
"BRA.198"	6736	6818	13554	0.496975062712115	0.503024937287885
"BRA.199"	5089	4986	10075	0.505111662531017	0.494888337468983
"BRA.19"	38143	32291	70434	0.541542436891274	0.458457563108726
"BRA.1"	29419	26557	55976	0.525564527654709	0.474435472345291
"BRA.200"	32243	28404	60647	0.531650370174947	0.468349629825053
"BRA.201"	31487	26976	58463	0.538579956553718	0.461420043446282
"BRA.202"	29198	27125	56323	0.518402783942617	0.481597216057383
"BRA.203"	30253	27553	57806	0.523353977095803	0.476646022904197
"BRA.204"	26797	24773	51570	0.519623812293969	0.480376187706031
"BRA.206"	28824	26369	55193	0.52224013914808	0.47775986085192
"BRA.207"	24445	23599	48044	0.508804429273166	0.491195570726834
"BRA.208"	31181	28557	59738	0.521962569888513	0.478037430111487
"BRA.209"	33933	2312	36245	0.936211891295351	0.0637881087046489
"BRA.210"	34841	30380	65221	0.534199107649377	0.465800892350623
"BRA.211"	29731	27990	57721	0.51508116629996	0.48491883370004
"BRA.212"	31302	28260	59562	0.5255364158356	0.4744635841644
"BRA.213"	32778	26816	59594	0.550021814276605	0.449978185723395
"BRA.214"	29741	27763	57504	0.517198803561491	0.482801196438509
"BRA.216"	816	26469	27285	0.0299065420560748	0.970093457943925
"BRA.217"	6273	6179	12452	0.50377449405718	0.49622550594282
"BRA.218"	24684	23698	48382	0.510189739985945	0.489810260014055
"BRA.219"	35938	30353	66291	0.542124873663091	0.457875126336908
"BRA.21"	42889	27624	70513	0.608242451746487	0.391757548253514
"BRA.220"	24566	22795	47361	0.518696818057051	0.481303181942949
"BRA.221"	507	26255	26762	0.0189447724385322	0.981055227561468
"BRA.223"	5738	17328	23066	0.248764415156507	0.751235584843493
"BRA.224"	26153	24168	50321	0.519723375926551	0.480276624073448
"BRA.225"	29655	26487	56142	0.528214171208721	0.471785828791279
"BRA.226"	34662	1210	35872	0.966268956289028	0.0337310437109723
"BRA.228"	27274	25434	52708	0.517454655839721	0.482545344160279
"BRA.229"	33353	1395	34748	0.959853804535513	0.0401461954644872
"BRA.22"	36595	31517	68112	0.537276838148931	0.462723161851069
"BRA.230"	31542	28624	60166	0.524249576172589	0.475750423827411
"BRA.231"	28048	26242	54290	0.516632897402837	0.483367102597163
"BRA.232"	32651	28561	61212	0.533408481996994	0.466591518003006
"BRA.235"	27997	26329	54326	0.515351765268932	0.484648234731068
"BRA.237"	1882	26971	28853	0.0652271860811701	0.93477281391883
"BRA.238"	28598	26361	54959	0.520351534780473	0.479648465219527
"BRA.239"	24947	22209	47156	0.529031300364747	0.470968699635253
"BRA.240"	28439	26635	55074	0.51637796419363	0.48362203580637
"BRA.241"	29622	26540	56162	0.527438481535558	0.472561518464442
"BRA.242"	28578	26167	54745	0.522020275824276	0.477979724175724
"BRA.243.143"	5009	23718	28727	0.174365579420058	0.825634420579942
"BRA.243"	31085	28863	59948	0.518532728364583	0.481467271635417
"BRA.244"	29543	27034	56577	0.522173321314315	0.477826678685685
"BRA.245.140"	31133	27630	58763	0.529806170549495	0.470193829450505
"BRA.245"	1273	28311	29584	0.0430300162249865	0.956969983775014
"BRA.246"	31138	27631	58769	0.529837159046436	0.470162840953564
"BRA.248"	25734	23555	49289	0.522104323479884	0.477895676520116
"BRA.249"	27185	24167	51352	0.529385418289453	0.470614581710547
"BRA.24"	37663	30849	68512	0.549728514712751	0.450271485287249
"BRA.250"	3641	9764	13405	0.271615069004103	0.728384930995897
"BRA.251"	36030	30362	66392	0.54268586576696	0.45731413423304
"BRA.252"	8813	4545	13358	0.65975445425962	0.34024554574038
"BRA.253"	33088	29277	62365	0.530553996632727	0.469446003367273
"BRA.254"	2354	29342	31696	0.0742680464411913	0.925731953558809
"BRA.255"	38125	31971	70096	0.543896941337594	0.456103058662406
"BRA.256"	39544	32729	72273	0.547147620826588	0.452852379173412
"BRA.257"	30968	27761	58729	0.527303376526077	0.472696623473923
"BRA.258"	30008	26794	56802	0.528291257350093	0.471708742649907
"BRA.259"	14327	7861	22188	0.645709392464395	0.354290607535605
"BRA.25"	34888	30107	64995	0.536779752288638	0.463220247711362
"BRA.260"	31904	28180	60084	0.530989947406964	0.469010052593036
"BRA.261"	38023	31481	69504	0.547062039594843	0.452937960405157
"BRA.263"	1052	30000	31052	0.033878655159088	0.966121344840912
"BRA.264"	30238	34120	64358	0.469840579259766	0.530159420740234
"BRA.265"	1406	32502	33908	0.0414651409696827	0.958534859030317
"BRA.266"	30266	28090	58356	0.518644183974227	0.481355816025773
"BRA.267"	31163	28413	59576	0.52307976366322	0.47692023633678
"BRA.268"	35298	30519	65817	0.536305209900178	0.463694790099822
"BRA.269"	3477	32558	36035	0.0964895240738171	0.903510475926183
"BRA.270"	35290	29823	65113	0.541980864036368	0.458019135963632
"BRA.271"	29941	27693	57634	0.519502377069091	0.480497622930909
"BRA.272"	2135	25209	27344	0.0780792861322411	0.921920713867759
"BRA.273"	6072	26941	33013	0.183927543694908	0.816072456305092
"BRA.274"	251	26752	27003	0.00929526348924194	0.990704736510758
"BRA.275"	2247	28528	30775	0.0730138099106418	0.926986190089358
"BRA.276"	31831	28656	60487	0.526245308909352	0.473754691090648
"BRA.277"	26262	24608	50870	0.51625712600747	0.48374287399253
"BRA.278"	40610	33320	73930	0.549303395103476	0.450696604896524
"BRA.279"	28412	26289	54701	0.519405495329153	0.480594504670847
"BRA.27"	31789	28270	60059	0.52929619207779	0.47070380792221
"BRA.280"	30843	27215	58058	0.531244617451514	0.468755382548486
"BRA.281"	38525	32675	71200	0.541081460674157	0.458918539325843
"BRA.282"	28825	25881	54706	0.526907469016196	0.473092530983804
"BRA.283"	27805	25451	53256	0.522100796154424	0.477899203845576
"BRA.284"	31909	28559	60468	0.527700601971291	0.472299398028709
"BRA.285"	7040	6063	13103	0.537281538578951	0.462718461421049
"BRA.286"	15593	11231	26824	0.581307784073964	0.418692215926036
"BRA.287"	5145	4998	10143	0.507246376811594	0.492753623188406
"BRA.288"	12991	7758	20749	0.62610246276929	0.37389753723071
"BRA.289"	27831	25652	53483	0.520370958996317	0.479629041003683
"BRA.28"	30196	28096	58292	0.518012763329445	0.481987236670555
"BRA.290"	28051	26572	54623	0.513538253116819	0.486461746883181
"BRA.291"	30695	27743	58438	0.525257537903419	0.474742462096581
"BRA.292"	31212	28199	59411	0.525357257073606	0.474642742926394
"BRA.293"	26125	23926	50051	0.521967593055084	0.478032406944916
"BRA.295"	29535	26433	55968	0.527712264150943	0.472287735849057
"BRA.296"	27250	25956	53206	0.512160282674886	0.487839717325114
